,dt,o,h,l,c,v,e_dt,key,calculate_volume_stdv_1,calculate_avg_volume_1,calculate_volume_zscore_1,calculate_sum_zscores_1_5,calculate_avg_zscore_sums_1_5
0,2013-01-01 09:15:00,550.5,563.9,550.5,560.0,242,2013-01-01 15:29:00,2013-01-01 09:15:00,0.0,242.0,,,
1,2013-01-02 09:15:00,588.8,625.0,565.0,608.95,22931,2013-01-02 15:29:00,2013-01-02 09:15:00,11344.5,11586.5,1.0,,
2,2013-01-03 09:15:00,610.0,648.0,605.65,638.1,31155,2013-01-03 15:29:00,2013-01-03 09:15:00,13072.611173322983,18109.333333333332,0.9979388580981204,,
3,2013-01-04 09:15:00,717.1,717.1,620.1,637.75,4967,2013-01-04 15:29:00,2013-01-04 09:15:00,12671.031753077568,14823.75,-0.7778964011834293,,
4,2013-01-07 09:15:00,649.9,649.9,625.95,638.0,10729,2013-01-07 15:29:00,2013-01-07 09:15:00,11451.059032246756,14004.8,-0.28606961074737125,,
5,2013-01-08 09:15:00,611.25,650.0,611.25,645.0,7514,2013-01-08 15:29:00,2013-01-08 09:15:00,10729.573632411184,12923.0,-0.5041206841305279,0.429852162036792,
6,2013-01-09 09:15:00,650.0,650.0,642.0,642.0,1301,2013-01-09 15:29:00,2013-01-09 09:15:00,10733.908524115604,11262.714285714286,-0.9280602926076322,-1.4982081305708403,
7,2013-01-10 09:15:00,645.0,656.4,636.2,640.05,15708,2013-01-10 15:29:00,2013-01-10 09:15:00,10147.709346664153,11818.375,0.38330078908681325,-2.1128461995821475,
8,2013-01-11 09:15:00,640.0,692.0,640.0,670.0,40337,2013-01-11 15:29:00,2013-01-11 09:15:00,13109.589428645519,14987.111111111111,1.933690526836586,0.5987407284378679,
9,2013-01-14 09:15:00,669.05,674.0,657.4,664.9,3814,2013-01-14 15:29:00,2013-01-14 09:15:00,12880.631139816092,13869.8,-0.7806915585771191,0.10411878060812008,
10,2013-01-15 09:15:00,664.0,670.0,664.0,668.0,4258,2013-01-15 15:29:00,2013-01-15 09:15:00,12588.214163183824,12996.0,-0.6941413521193205,-0.0859018873806725,
11,2013-01-16 09:15:00,689.0,689.0,635.0,640.0,21362,2013-01-16 15:29:00,2013-01-16 09:15:00,12272.095561566584,13693.166666666666,0.624900066566494,1.4670584717934538,
12,2013-01-17 09:15:00,650.0,654.95,635.3,637.35,8082,2013-01-17 15:29:00,2013-01-17 09:15:00,11885.075344347986,13261.538461538461,-0.43580190377182754,0.6479557789348129,
13,2013-01-18 09:15:00,659.0,659.0,632.1,639.85,5300,2013-01-18 15:29:00,2013-01-18 09:15:00,11634.84214305796,12692.857142857143,-0.6354067422623488,-1.921141490164122,
14,2013-01-21 09:15:00,642.0,650.0,632.55,639.95,4049,2013-01-21 15:29:00,2013-01-21 09:15:00,11445.257840695422,12116.6,-0.7048858236565344,-1.8453357552435374,-0.4215707541130273
15,2013-01-22 09:15:00,630.25,656.4,630.25,655.0,4575,2013-01-22 15:29:00,2013-01-22 09:15:00,11231.17843048983,11645.25,-0.6295198712902688,-1.7807142744144855,-0.6426273977581551
16,2013-01-23 09:15:00,640.2,656.8,625.0,629.0,8095,2013-01-23 15:29:00,2013-01-23 09:15:00,10927.818656765665,11436.411764705883,-0.30577115796455295,-2.7113854989455324,-0.7639451345956243
17,2013-01-24 09:15:00,649.95,649.95,589.8,610.0,25063,2013-01-24 15:29:00,2013-01-24 09:15:00,11069.12845220246,12193.444444444445,1.1626530138418312,-1.1129305813318735,-0.6639535727705969
