strategyId,parameterId,instrument,tf,function,stdv_rolling_period,stdv_neg,avg_volatility_rolling_peirod,zscore_sum_rolling_period,zscore_sum_avg_rolling_period,change_per_avg_rolling_period,opt_summary_avg_period,opt_summary_threshold,fractal_period,fractal_high_low_avg_peirod,fractal_low_threshold,fractal_high_threshold
4,13,LTIM,375,VOLATILITY,66,FALSE,10,0,0,0,0,0,0,0,0,0
4,14,LTIM,375,VOLATILITY,132,FALSE,10,0,0,0,0,0,0,0,0,0
4,15,LTIM,375,VOLATILITY,252,FALSE,10,0,0,0,0,0,0,0,0,0
5,1,LTIM,1125,VOLATILITY,1,FALSE,5,0,0,0,0,0,0,0,0,0
5,2,LTIM,1125,VOLATILITY,1,FALSE,10,0,0,0,0,0,0,0,0,0
5,3,LTIM,1125,VOLATILITY,1,FALSE,15,0,0,0,0,0,0,0,0,0
5,4,LTIM,1125,VOLATILITY,1,FALSE,20,0,0,0,0,0,0,0,0,0
5,5,LTIM,1125,VOLATILITY,1,FALSE,30,0,0,0,0,0,0,0,0,0
5,6,LTIM,1125,VOLATILITY,7,FALSE,5,0,0,0,0,0,0,0,0,0
5,7,LTIM,1125,VOLATILITY,7,FALSE,10,0,0,0,0,0,0,0,0,0
5,8,LTIM,1125,VOLATILITY,22,FALSE,10,0,0,0,0,0,0,0,0,0
5,9,LTIM,1125,VOLATILITY,44,FALSE,10,0,0,0,0,0,0,0,0,0
5,10,LTIM,1125,VOLATILITY,84,FALSE,10,0,0,0,0,0,0,0,0,0
