,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_1,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,calculate_change_2,calculate_stdv_2_1,calculate_annualized_volatility_2,calculate_avg_volatility_2_10,calculate_change_3,calculate_stdv_3_1,calculate_annualized_volatility_3,calculate_avg_volatility_3_15,calculate_change_4,calculate_stdv_4_1,calculate_annualized_volatility_4,calculate_avg_volatility_4_20,calculate_change_5,calculate_stdv_5_1,calculate_annualized_volatility_5,calculate_avg_volatility_5_30,calculate_change_6,calculate_stdv_6_5,calculate_annualized_volatility_6,calculate_avg_volatility_6_5,calculate_change_7,calculate_stdv_7_5,calculate_annualized_volatility_7,calculate_avg_volatility_7_10,calculate_change_8,calculate_stdv_8_5,calculate_annualized_volatility_8,calculate_avg_volatility_8_15,calculate_change_9,calculate_stdv_9_5,calculate_annualized_volatility_9,calculate_avg_volatility_9_20,calculate_change_10,calculate_stdv_10_5,calculate_annualized_volatility_10,calculate_avg_volatility_10_30,calculate_change_11,calculate_stdv_11_22,calculate_annualized_volatility_11,calculate_avg_volatility_11_5,calculate_change_12,calculate_stdv_12_22,calculate_annualized_volatility_12,calculate_avg_volatility_12_10,calculate_change_13,calculate_stdv_13_66,calculate_annualized_volatility_13,calculate_avg_volatility_13_10,calculate_change_14,calculate_stdv_14_132,calculate_annualized_volatility_14,calculate_avg_volatility_14_10,calculate_change_15,calculate_stdv_15_252,calculate_annualized_volatility_15,calculate_avg_volatility_15_10
0,2017-09-29 09:15:00,685.0,687.7,677.65,680.3,1364629,2017-09-29 15:29:00,2017-09-29 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-10-03 09:15:00,677.1,688.45,674.1,686.0,1750795,2017-10-03 15:29:00,2017-10-03 09:15:00,0.08343750374870124,0.0,0.0,,0.08343750374870124,0.0,0.0,,0.08343750374870124,0.0,0.0,,0.08343750374870124,0.0,0.0,,0.08343750374870124,0.0,0.0,,0.08343750374870124,,,,0.08343750374870124,,,,0.08343750374870124,,,,0.08343750374870124,,,,0.08343750374870124,,,,0.08343750374870124,,,,0.08343750374870124,,,,0.08343750374870124,,,,0.08343750374870124,,,,0.08343750374870124,,,
2,2017-10-04 09:15:00,681.5,686.85,679.75,680.3,545163,2017-10-04 15:29:00,2017-10-04 09:15:00,-0.08343750374870171,0.0,0.0,,-0.08343750374870171,0.0,0.0,,-0.08343750374870171,0.0,0.0,,-0.08343750374870171,0.0,0.0,,-0.08343750374870171,0.0,0.0,,-0.08343750374870171,,,,-0.08343750374870171,,,,-0.08343750374870171,,,,-0.08343750374870171,,,,-0.08343750374870171,,,,-0.08343750374870171,,,,-0.08343750374870171,,,,-0.08343750374870171,,,,-0.08343750374870171,,,,-0.08343750374870171,,,
3,2017-10-05 09:15:00,676.1,680.95,665.15,667.0,485895,2017-10-05 15:29:00,2017-10-05 09:15:00,-0.19743831435391274,0.0,0.0,,-0.19743831435391274,0.0,0.0,,-0.19743831435391274,0.0,0.0,,-0.19743831435391274,0.0,0.0,,-0.19743831435391274,0.0,0.0,,-0.19743831435391274,,,,-0.19743831435391274,,,,-0.19743831435391274,,,,-0.19743831435391274,,,,-0.19743831435391274,,,,-0.19743831435391274,,,,-0.19743831435391274,,,,-0.19743831435391274,,,,-0.19743831435391274,,,,-0.19743831435391274,,,
4,2017-10-06 09:15:00,665.0,680.5,663.0,680.0,568108,2017-10-06 15:29:00,2017-10-06 09:15:00,0.19302752254528677,0.0,0.0,,0.19302752254528677,0.0,0.0,,0.19302752254528677,0.0,0.0,,0.19302752254528677,0.0,0.0,,0.19302752254528677,0.0,0.0,,0.19302752254528677,,,,0.19302752254528677,,,,0.19302752254528677,,,,0.19302752254528677,,,,0.19302752254528677,,,,0.19302752254528677,,,,0.19302752254528677,,,,0.19302752254528677,,,,0.19302752254528677,,,,0.19302752254528677,,,
5,2017-10-09 09:15:00,670.0,686.0,670.0,685.0,647241,2017-10-09 15:29:00,2017-10-09 09:15:00,0.07326040092072882,0.0,0.0,0.0,0.07326040092072882,0.0,0.0,,0.07326040092072882,0.0,0.0,,0.07326040092072882,0.0,0.0,,0.07326040092072882,0.0,0.0,,0.07326040092072882,0.1375384885089282,2.1833558177660333,,0.07326040092072882,0.1375384885089282,2.1833558177660333,,0.07326040092072882,0.1375384885089282,2.1833558177660333,,0.07326040092072882,0.1375384885089282,2.1833558177660333,,0.07326040092072882,0.1375384885089282,2.1833558177660333,,0.07326040092072882,,,,0.07326040092072882,,,,0.07326040092072882,,,,0.07326040092072882,,,,0.07326040092072882,,,
6,2017-10-10 09:15:00,680.0,690.0,680.0,687.0,749555,2017-10-10 15:29:00,2017-10-10 09:15:00,0.02915453960124135,0.0,0.0,0.0,0.02915453960124135,0.0,0.0,,0.02915453960124135,0.0,0.0,,0.02915453960124135,0.0,0.0,,0.02915453960124135,0.0,0.0,,0.02915453960124135,0.13369963766594234,2.122415949861166,,0.02915453960124135,0.13369963766594234,2.122415949861166,,0.02915453960124135,0.13369963766594234,2.122415949861166,,0.02915453960124135,0.13369963766594234,2.122415949861166,,0.02915453960124135,0.13369963766594234,2.122415949861166,,0.02915453960124135,,,,0.02915453960124135,,,,0.02915453960124135,,,,0.02915453960124135,,,,0.02915453960124135,,,
7,2017-10-11 09:15:00,683.6,689.9,683.6,687.5,350689,2017-10-11 15:29:00,2017-10-11 09:15:00,0.007275373183769279,0.0,0.0,0.0,0.007275373183769279,0.0,0.0,,0.007275373183769279,0.0,0.0,,0.007275373183769279,0.0,0.0,,0.007275373183769279,0.0,0.0,,0.007275373183769279,0.12672392155082485,2.011679889518047,,0.007275373183769279,0.12672392155082485,2.011679889518047,,0.007275373183769279,0.12672392155082485,2.011679889518047,,0.007275373183769279,0.12672392155082485,2.011679889518047,,0.007275373183769279,0.12672392155082485,2.011679889518047,,0.007275373183769279,,,,0.007275373183769279,,,,0.007275373183769279,,,,0.007275373183769279,,,,0.007275373183769279,,,
8,2017-10-12 09:15:00,682.2,702.0,682.2,701.0,936840,2017-10-12 15:29:00,2017-10-12 09:15:00,0.1944605749386377,0.0,0.0,0.0,0.1944605749386377,0.0,0.0,,0.1944605749386377,0.0,0.0,,0.1944605749386377,0.0,0.0,,0.1944605749386377,0.0,0.0,,0.1944605749386377,0.079884003069714,1.2681192351287016,,0.1944605749386377,0.079884003069714,1.2681192351287016,,0.1944605749386377,0.079884003069714,1.2681192351287016,,0.1944605749386377,0.079884003069714,1.2681192351287016,,0.1944605749386377,0.079884003069714,1.2681192351287016,,0.1944605749386377,,,,0.1944605749386377,,,,0.1944605749386377,,,,0.1944605749386377,,,,0.1944605749386377,,,
9,2017-10-13 09:15:00,693.2,701.0,693.2,695.0,239367,2017-10-13 15:29:00,2017-10-13 09:15:00,-0.08596041469797908,0.0,0.0,0.0,-0.08596041469797908,0.0,0.0,,-0.08596041469797908,0.0,0.0,,-0.08596041469797908,0.0,0.0,,-0.08596041469797908,0.0,0.0,,-0.08596041469797908,0.09159988656511825,1.4541031198381764,1.8079348024224249,-0.08596041469797908,0.09159988656511825,1.4541031198381764,,-0.08596041469797908,0.09159988656511825,1.4541031198381764,,-0.08596041469797908,0.09159988656511825,1.4541031198381764,,-0.08596041469797908,0.09159988656511825,1.4541031198381764,,-0.08596041469797908,,,,-0.08596041469797908,,,,-0.08596041469797908,,,,-0.08596041469797908,,,,-0.08596041469797908,,,
