,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_1,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,calculate_change_2,calculate_stdv_2_1,calculate_annualized_volatility_2,calculate_avg_volatility_2_10,calculate_change_3,calculate_stdv_3_1,calculate_annualized_volatility_3,calculate_avg_volatility_3_15,calculate_change_4,calculate_stdv_4_1,calculate_annualized_volatility_4,calculate_avg_volatility_4_20,calculate_change_5,calculate_stdv_5_1,calculate_annualized_volatility_5,calculate_avg_volatility_5_30,calculate_change_6,calculate_stdv_6_5,calculate_annualized_volatility_6,calculate_avg_volatility_6_5,calculate_change_7,calculate_stdv_7_5,calculate_annualized_volatility_7,calculate_avg_volatility_7_10,calculate_change_8,calculate_stdv_8_5,calculate_annualized_volatility_8,calculate_avg_volatility_8_15,calculate_change_9,calculate_stdv_9_5,calculate_annualized_volatility_9,calculate_avg_volatility_9_20,calculate_change_10,calculate_stdv_10_5,calculate_annualized_volatility_10,calculate_avg_volatility_10_30,calculate_change_11,calculate_stdv_11_22,calculate_annualized_volatility_11,calculate_avg_volatility_11_5,calculate_change_12,calculate_stdv_12_22,calculate_annualized_volatility_12,calculate_avg_volatility_12_10,calculate_change_13,calculate_stdv_13_66,calculate_annualized_volatility_13,calculate_avg_volatility_13_10,calculate_change_14,calculate_stdv_14_132,calculate_annualized_volatility_14,calculate_avg_volatility_14_10,calculate_change_15,calculate_stdv_15_252,calculate_annualized_volatility_15,calculate_avg_volatility_15_10
220,2017-06-13 09:15:00,790.0,800.0,784.35,794.0,59571,2017-06-13 15:29:00,2017-06-13 09:15:00,0.10253903375006462,0.0,0.0,0.0,0.10253903375006462,0.0,0.0,0.0,0.10253903375006462,0.0,0.0,0.0,0.10253903375006462,0.0,0.0,0.0,0.10253903375006462,0.0,0.0,0.0,0.10253903375006462,0.1589573529379564,2.52336974963373,2.25495120169711,0.10253903375006462,0.1589573529379564,2.52336974963373,3.1505452453821663,0.10253903375006462,0.1589573529379564,2.52336974963373,2.7019808245167383,0.10253903375006462,0.1589573529379564,2.52336974963373,2.2536682059905155,0.10253903375006462,0.1589573529379564,2.52336974963373,2.019195104330117,0.10253903375006462,0.16243451943113077,2.5785680564823656,2.506881598118996,0.10253903375006462,0.16243451943113077,2.5785680564823656,2.492112956340666,0.10253903375006462,0.1294846236944042,2.0555046774130505,1.9893375664068604,0.10253903375006462,0.11131777832274213,1.767114947653155,1.75865067979182,0.10253903375006462,,,
221,2017-06-14 09:15:00,800.0,800.0,786.0,791.8,17005,2017-06-14 15:29:00,2017-06-14 09:15:00,-0.02774626575105544,0.0,0.0,0.0,-0.02774626575105544,0.0,0.0,0.0,-0.02774626575105544,0.0,0.0,0.0,-0.02774626575105544,0.0,0.0,0.0,-0.02774626575105544,0.0,0.0,0.0,-0.02774626575105544,0.11633713405572826,1.8467947497206405,2.211791844762843,-0.02774626575105544,0.11633713405572826,1.8467947497206405,2.9087261441305596,-0.02774626575105544,0.11633713405572826,1.8467947497206405,2.765120717819928,-0.02774626575105544,0.11633713405572826,1.8467947497206405,2.2862028924258615,-0.02774626575105544,0.11633713405572826,1.8467947497206405,2.0549454515506125,-0.02774626575105544,0.16083596721504967,2.553191826753355,2.535766485327708,-0.02774626575105544,0.16083596721504967,2.553191826753355,2.502830114342232,-0.02774626575105544,0.12951674204830613,2.056014540474722,2.0020127153424014,-0.02774626575105544,0.1113485572395497,1.7676035478101355,1.7610837991741595,-0.02774626575105544,,,
222,2017-06-15 09:15:00,795.0,809.6,787.2,805.0,76282,2017-06-15 15:29:00,2017-06-15 09:15:00,0.16533442746533236,0.0,0.0,0.0,0.16533442746533236,0.0,0.0,0.0,0.16533442746533236,0.0,0.0,0.0,0.16533442746533236,0.0,0.0,0.0,0.16533442746533236,0.0,0.0,0.0,0.16533442746533236,0.12062754679043705,1.9149029404278246,2.1562004920209863,0.16533442746533236,0.12062754679043705,1.9149029404278246,2.679081228000263,0.16533442746533236,0.12062754679043705,1.9149029404278246,2.788607059762433,0.16533442746533236,0.12062754679043705,1.9149029404278246,2.339354713584414,0.16533442746533236,0.12062754679043705,1.9149029404278246,2.0935559642786967,0.16533442746533236,0.16176884688599516,2.5680008324281722,2.5513865134531573,0.16533442746533236,0.16176884688599516,2.5680008324281722,2.5082943618179003,0.16533442746533236,0.13073120683807346,2.0752935713333343,2.0148598030125338,0.16533442746533236,0.11210071004099631,1.779543603373425,1.7642317070885887,0.16533442746533236,,,
223,2017-06-16 09:15:00,805.35,809.0,792.65,803.95,28281,2017-06-16 15:29:00,2017-06-16 09:15:00,-0.01305199228142756,0.0,0.0,0.0,-0.01305199228142756,0.0,0.0,0.0,-0.01305199228142756,0.0,0.0,0.0,-0.01305199228142756,0.0,0.0,0.0,-0.01305199228142756,0.0,0.0,0.0,-0.01305199228142756,0.11825845493883252,1.8772947731933338,2.1271506216135303,-0.01305199228142756,0.11825845493883252,1.8772947731933338,2.4417440976015508,-0.01305199228142756,0.11825845493883252,1.8772947731933338,2.809887300657755,-0.01305199228142756,0.11825845493883252,1.8772947731933338,2.38708692382168,-0.01305199228142756,0.11825845493883252,1.8772947731933338,2.078186181386306,-0.01305199228142756,0.16184887520244862,2.5692712425672464,2.567125665885559,-0.01305199228142756,0.16184887520244862,2.5692712425672464,2.510058400099955,-0.01305199228142756,0.13076527743998995,2.07583442537147,2.0262901602633625,-0.01305199228142756,0.11212071217266852,1.77986112737,1.7666618485027485,-0.01305199228142756,,,
224,2017-06-19 09:15:00,802.0,835.0,792.6,823.0,120854,2017-06-19 15:29:00,2017-06-19 09:15:00,0.23419122486649288,0.0,0.0,0.0,0.23419122486649288,0.0,0.0,0.0,0.23419122486649288,0.0,0.0,0.0,0.23419122486649288,0.0,0.0,0.0,0.23419122486649288,0.0,0.0,0.0,0.23419122486649288,0.10107632995781472,1.6045369950209127,1.9533798415992885,0.23419122486649288,0.10107632995781472,1.6045369950209127,2.2110599220757168,0.23419122486649288,0.10107632995781472,1.6045369950209127,2.7563839827084005,0.23419122486649288,0.10107632995781472,1.6045369950209127,2.4296462326455073,0.23419122486649288,0.10107632995781472,1.6045369950209127,2.058188762112419,0.23419122486649288,0.1680665881733729,2.6679743760351236,2.5874012668532522,0.23419122486649288,0.1680665881733729,2.6679743760351236,2.5217629528790075,0.23419122486649288,0.13305746800603233,2.1122218225433693,2.041602353013736,0.23419122486649288,0.11269773876894885,1.789021140611767,1.7703588446827159,0.23419122486649288,,,
225,2017-06-20 09:15:00,822.05,835.0,810.0,817.6,25930,2017-06-20 15:29:00,2017-06-20 09:15:00,-0.0658298122762975,0.0,0.0,0.0,-0.0658298122762975,0.0,0.0,0.0,-0.0658298122762975,0.0,0.0,0.0,-0.0658298122762975,0.0,0.0,0.0,-0.0658298122762975,0.0,0.0,0.0,-0.0658298122762975,0.11857232219092559,1.8822772613556866,1.8251613439436798,-0.0658298122762975,0.11857232219092559,1.8822772613556866,2.0400562728203946,-0.0658298122762975,0.11857232219092559,1.8822772613556866,2.7087506115693376,-0.0658298122762975,0.11857232219092559,1.8822772613556866,2.4827759543734738,-0.0658298122762975,0.11857232219092559,1.8822772613556866,2.0477047384383,-0.0658298122762975,0.16916548255481578,2.685418783537668,2.6087714122643133,-0.0658298122762975,0.16916548255481578,2.685418783537668,2.557826505191654,-0.0658298122762975,0.13344761908934555,2.1184152789845045,2.0572748929171265,-0.0658298122762975,0.1128184981871894,1.7909381369465671,1.7742210246515548,-0.0658298122762975,,,
226,2017-06-21 09:15:00,817.5,834.85,815.0,834.85,26101,2017-06-21 15:29:00,2017-06-21 09:15:00,0.20878848545526157,0.0,0.0,0.0,0.20878848545526157,0.0,0.0,0.0,0.20878848545526157,0.0,0.0,0.0,0.20878848545526157,0.0,0.0,0.0,0.20878848545526157,0.0,0.0,0.0,0.20878848545526157,0.1218341774393123,1.934057608155219,1.8426139156305954,0.20878848545526157,0.1218341774393123,1.934057608155219,2.027202880196719,0.20878848545526157,0.1218341774393123,1.934057608155219,2.5533554012972384,0.20878848545526157,0.1218341774393123,1.934057608155219,2.534494017272595,0.20878848545526157,0.1218341774393123,1.934057608155219,2.0469621129563107,0.20878848545526157,0.17355634878005116,2.7551216239704224,2.6491573717077266,0.20878848545526157,0.17355634878005116,2.7551216239704224,2.592461928517717,0.20878848545526157,0.13539469731191778,2.1493241875451994,2.0715580847220196,0.20878848545526157,0.11327281140383946,1.7981501356780822,1.7787064254631875,0.20878848545526157,,,
227,2017-06-22 09:15:00,831.9,842.0,811.25,823.0,52027,2017-06-22 15:29:00,2017-06-22 09:15:00,-0.1429586731789631,0.0,0.0,0.0,-0.1429586731789631,0.0,0.0,0.0,-0.1429586731789631,0.0,0.0,0.0,-0.1429586731789631,0.0,0.0,0.0,-0.1429586731789631,0.0,0.0,0.0,-0.1429586731789631,0.15073072039199195,2.392776006568938,1.9381885288588179,-0.1429586731789631,0.15073072039199195,2.392776006568938,2.047194510439902,-0.1429586731789631,0.15073072039199195,2.392776006568938,2.4321169949531147,-0.1429586731789631,0.15073072039199195,2.392776006568938,2.576002427036529,-0.1429586731789631,0.15073072039199195,2.392776006568938,2.055576039867984,-0.1429586731789631,0.17514659248797132,2.7803659602212742,2.691630397266347,-0.1429586731789631,0.17514659248797132,2.7803659602212742,2.6215084553597525,-0.1429586731789631,0.13672698350201543,2.170473575150184,2.087483084838838,-0.1429586731789631,0.1141225027570788,1.8116385677490816,1.7829073903089885,-0.1429586731789631,,,
228,2017-06-23 09:15:00,800.0,822.4,800.0,807.5,82985,2017-06-23 15:29:00,2017-06-23 09:15:00,-0.19013145580258212,0.0,0.0,0.0,-0.19013145580258212,0.0,0.0,0.0,-0.19013145580258212,0.0,0.0,0.0,-0.19013145580258212,0.0,0.0,0.0,-0.19013145580258212,0.0,0.0,0.0,-0.19013145580258212,0.17830907196225795,2.8305687655131266,2.1288433273227767,-0.19013145580258212,0.17830907196225795,2.8305687655131266,2.1279969744681537,-0.19013145580258212,0.17830907196225795,2.8305687655131266,2.337443840841959,-0.19013145580258212,0.17830907196225795,2.8305687655131266,2.6396263073240105,-0.19013145580258212,0.17830907196225795,2.8305687655131266,2.1194204932074823,-0.19013145580258212,0.1807465219354859,2.86926208428706,2.7516285656103094,-0.19013145580258212,0.1807465219354859,2.86926208428706,2.659377115747934,-0.19013145580258212,0.13839515941606143,2.1969550468202255,2.105907287492894,-0.19013145580258212,0.11524885155094149,1.829518800537551,1.7892099818399907,-0.19013145580258212,,,
229,2017-06-27 09:15:00,796.4,806.65,781.3,784.0,90164,2017-06-27 15:29:00,2017-06-27 09:15:00,-0.2953403474640378,0.0,0.0,0.0,-0.2953403474640378,0.0,0.0,0.0,-0.2953403474640378,0.0,0.0,0.0,-0.2953403474640378,0.0,0.0,0.0,-0.2953403474640378,0.0,0.0,0.0,-0.2953403474640378,0.1700603981252092,2.699625127799631,2.34786095387852,-0.2953403474640378,0.1700603981252092,2.699625127799631,2.1506203977389045,-0.2953403474640378,0.1700603981252092,2.699625127799631,2.2566602660099853,-0.2953403474640378,0.1700603981252092,2.699625127799631,2.65425322550093,-0.2953403474640378,0.1700603981252092,2.699625127799631,2.174629101255768,-0.2953403474640378,0.18714976230515187,2.9709103739056926,2.8122157651844235,-0.2953403474640378,0.18714976230515187,2.9709103739056926,2.699808516018838,-0.2953403474640378,0.1433722982713162,2.2759646767300703,2.128600180236613,-0.2953403474640378,0.11689152610681469,1.8555954506966748,1.7968985458426439,-0.2953403474640378,,,
230,2017-06-28 09:15:00,783.1,805.15,783.1,787.0,89654,2017-06-28 15:29:00,2017-06-28 09:15:00,0.03819228066995397,0.0,0.0,0.0,0.03819228066995397,0.0,0.0,0.0,0.03819228066995397,0.0,0.0,0.0,0.03819228066995397,0.0,0.0,0.0,0.03819228066995397,0.0,0.0,0.0,0.03819228066995397,0.17875322610999408,2.8376194940252524,2.5389294004124334,0.03819228066995397,0.17875322610999408,2.8376194940252524,2.182045372178057,0.03819228066995397,0.17875322610999408,2.8376194940252524,2.206347315351074,0.03819228066995397,0.17875322610999408,2.8376194940252524,2.6662953087801116,0.03819228066995397,0.17875322610999408,2.8376194940252524,2.229793928053029,0.03819228066995397,0.18726526517116207,2.9727439250607617,2.8696807934890423,0.03819228066995397,0.18726526517116207,2.9727439250607617,2.7392261028766773,0.03819228066995397,0.14053531418861198,2.230928950592366,2.1461426075545447,0.03819228066995397,0.11627652827161035,1.845832662723912,1.8047703173497198,0.03819228066995397,,,
