,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_1,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,calculate_change_2,calculate_stdv_2_1,calculate_annualized_volatility_2,calculate_avg_volatility_2_10,calculate_change_3,calculate_stdv_3_1,calculate_annualized_volatility_3,calculate_avg_volatility_3_15,calculate_change_4,calculate_stdv_4_1,calculate_annualized_volatility_4,calculate_avg_volatility_4_20,calculate_change_5,calculate_stdv_5_1,calculate_annualized_volatility_5,calculate_avg_volatility_5_30,calculate_change_6,calculate_stdv_6_7,calculate_annualized_volatility_6,calculate_avg_volatility_6_5,calculate_change_7,calculate_stdv_7_7,calculate_annualized_volatility_7,calculate_avg_volatility_7_10,calculate_change_8,calculate_stdv_8_22,calculate_annualized_volatility_8,calculate_avg_volatility_8_10,calculate_change_9,calculate_stdv_9_44,calculate_annualized_volatility_9,calculate_avg_volatility_9_10,calculate_change_10,calculate_stdv_10_84,calculate_annualized_volatility_10,calculate_avg_volatility_10_10
1995,2023-12-14 09:15:00,3000.0,3003.2,2957.0,2983.9,679501,2023-12-14 15:29:00,2023-12-14 09:15:00,-0.0036857712893585016,0.0,0.0,0.0,-0.0036857712893585016,0.0,0.0,0.0,-0.0036857712893585016,0.0,0.0,0.0,-0.0036857712893585016,0.0,0.0,0.0,-0.0036857712893585016,0.0,0.0,0.0,-0.0036857712893585016,0.0788656844193113,0.7228159371719869,0.723970382240546,-0.0036857712893585016,0.0788656844193113,0.7228159371719869,0.921112951925657,-0.0036857712893585016,0.10604145509014613,0.9718859895077098,1.2137374129512655,-0.0036857712893585016,0.1446872797565768,1.32608082316353,1.4075775169359521,-0.0036857712893585016,0.1424257756867898,1.3053537959950305,1.3509197711644076
1996,2023-12-15 09:15:00,2985.0,2990.0,2902.15,2919.35,1958639,2023-12-15 15:29:00,2023-12-15 09:15:00,-0.21870180954832508,0.0,0.0,0.0,-0.21870180954832508,0.0,0.0,0.0,-0.21870180954832508,0.0,0.0,0.0,-0.21870180954832508,0.0,0.0,0.0,-0.21870180954832508,0.0,0.0,0.0,-0.21870180954832508,0.1266363287915554,1.1606411248372364,0.8057564695995293,-0.21870180954832508,0.1266363287915554,1.1606411248372364,0.9012674476299566,-0.21870180954832508,0.12232951015066951,1.1211684799846235,1.192107888433722,-0.21870180954832508,0.14951171458048537,1.370297498695414,1.4000568344567081,-0.21870180954832508,0.14425063208208244,1.3220788811227362,1.3436469002880798
1997,2023-12-18 09:15:00,2927.0,2980.0,2911.5,2969.1,539115,2023-12-18 15:29:00,2023-12-18 09:15:00,0.16897887827820973,0.0,0.0,0.0,0.16897887827820973,0.0,0.0,0.0,0.16897887827820973,0.0,0.0,0.0,0.16897887827820973,0.0,0.0,0.0,0.16897887827820973,0.0,0.0,0.0,0.16897887827820973,0.1356597069975326,1.243341752143447,0.9178717448032068,0.16897887827820973,0.1356597069975326,1.243341752143447,0.8923300590086773,0.16897887827820973,0.12387423669000239,1.1353261325736237,1.1713014534065067,0.16897887827820973,0.14938435285355853,1.3691302091868487,1.3902652677107679,0.16897887827820973,0.1448508715439684,1.32758016666112,1.335353526670177
1998,2023-12-19 09:15:00,2974.0,3006.9,2946.65,2983.0,555092,2023-12-19 15:29:00,2023-12-19 09:15:00,0.046706289439935156,0.0,0.0,0.0,0.046706289439935156,0.0,0.0,0.0,0.046706289439935156,0.0,0.0,0.0,0.046706289439935156,0.0,0.0,0.0,0.046706289439935156,0.0,0.0,0.0,0.046706289439935156,0.13398095975503044,1.227955779520518,1.014024671345282,0.046706289439935156,0.13398095975503044,1.227955779520518,0.8879754335264135,0.046706289439935156,0.12386280166184498,1.1352213288094133,1.157514875791287,0.046706289439935156,0.14881434697682938,1.3639060190334868,1.3821295292028015,0.046706289439935156,0.13881494802490313,1.2722600138309585,1.3211000449102737
1999,2023-12-20 09:15:00,3000.0,3009.0,2844.7,2854.0,1057316,2023-12-20 15:29:00,2023-12-20 09:15:00,-0.4420798647796675,0.0,0.0,0.0,-0.4420798647796675,0.0,0.0,0.0,-0.4420798647796675,0.0,0.0,0.0,-0.4420798647796675,0.0,0.0,0.0,-0.4420798647796675,0.0,0.0,0.0,-0.4420798647796675,0.21175210973074904,1.940740142815505,1.2590989472977387,-0.4420798647796675,0.21175210973074904,1.940740142815505,0.9958583394042225,-0.4420798647796675,0.16200972757403417,1.4848436798543718,1.1844377880965926,-0.4420798647796675,0.1643028685472851,1.505860664032626,1.3886379165814329,-0.4420798647796675,0.14768626259597542,1.3535669549023654,1.3149353717022536
2000,2023-12-21 09:15:00,2848.4,2894.95,2819.55,2890.0,575248,2023-12-21 15:29:00,2023-12-21 09:15:00,0.1253498306969617,0.0,0.0,0.0,0.1253498306969617,0.0,0.0,0.0,0.1253498306969617,0.0,0.0,0.0,0.1253498306969617,0.0,0.0,0.0,0.1253498306969617,0.0,0.0,0.0,0.1253498306969617,0.21930866419905617,2.0099971085036534,1.516535181564072,0.1253498306969617,0.21930866419905617,2.0099971085036534,1.120252781902309,0.1253498306969617,0.16250384618453922,1.4893723517242234,1.2112905513235925,0.1253498306969617,0.16501971816904767,1.512430699339881,1.395989724803226,0.1253498306969617,0.1478983042657319,1.3555103489066531,1.3181557666338857
2001,2023-12-22 09:15:00,2900.0,2913.4,2847.35,2880.0,533918,2023-12-22 15:29:00,2023-12-22 09:15:00,-0.03466207976486284,0.0,0.0,0.0,-0.03466207976486284,0.0,0.0,0.0,-0.03466207976486284,0.0,0.0,0.0,-0.03466207976486284,0.0,0.0,0.0,-0.03466207976486284,0.0,0.0,0.0,-0.03466207976486284,0.19734279058391999,1.8086765514092638,1.6461422668784778,-0.03466207976486284,0.19734279058391999,1.8086765514092638,1.2259493682390032,-0.03466207976486284,0.16284347787673992,1.4924851276000548,1.2417867193971377,-0.03466207976486284,0.16345433866650605,1.4980837592164222,1.402155543535105,-0.03466207976486284,0.1480154053096155,1.356583597701763,1.3226349206149932
2002,2023-12-26 09:15:00,2881.0,2938.3,2864.0,2925.7,706569,2023-12-26 15:29:00,2023-12-26 09:15:00,0.15743474143718128,0.0,0.0,0.0,0.15743474143718128,0.0,0.0,0.0,0.15743474143718128,0.0,0.0,0.0,0.15743474143718128,0.0,0.0,0.0,0.15743474143718128,0.0,0.0,0.0,0.15743474143718128,0.21049515923681686,1.9292200012489924,1.7833179166995865,0.15743474143718128,0.21049515923681686,1.9292200012489924,1.3505948307513966,0.15743474143718128,0.16244377390301945,1.4888217801697574,1.2720788481454162,0.15743474143718128,0.16282084223849053,1.4922776685486918,1.413295982402188,0.15743474143718128,0.14852253580107816,1.3612315254304588,1.3280206473504674
2003,2023-12-27 09:15:00,2930.0,2948.2,2913.65,2934.9,516480,2023-12-27 15:29:00,2023-12-27 09:15:00,0.03139612857783021,0.0,0.0,0.0,0.03139612857783021,0.0,0.0,0.0,0.03139612857783021,0.0,0.0,0.0,0.03139612857783021,0.0,0.0,0.0,0.03139612857783021,0.0,0.0,0.0,0.03139612857783021,0.19583237572752812,1.7948333705888606,1.8966934349132551,0.03139612857783021,0.19583237572752812,1.7948333705888606,1.4553590531292684,0.03139612857783021,0.16216628522829127,1.4862785544568875,1.3025625794506956,0.03139612857783021,0.15126253158805894,1.3863440016258577,1.4158404182897495,0.03139612857783021,0.14816699776512654,1.3579729655060901,1.3331958845521936
2004,2023-12-28 09:15:00,2941.0,2947.95,2900.6,2928.0,1094475,2023-12-28 15:29:00,2023-12-28 09:15:00,-0.02353785050290647,0.0,0.0,0.0,-0.02353785050290647,0.0,0.0,0.0,-0.02353785050290647,0.0,0.0,0.0,-0.02353785050290647,0.0,0.0,0.0,-0.02353785050290647,0.0,0.0,0.0,-0.02353785050290647,0.18442180084499313,1.6902537243445037,1.8465961512190545,-0.02353785050290647,0.18442180084499313,1.6902537243445037,1.5528475492583966,-0.02353785050290647,0.15750123975314928,1.443522706436389,1.3248926131117054,-0.02353785050290647,0.14722721146544593,1.3493596817953526,1.417377102463811,-0.02353785050290647,0.1477184361421981,1.3538618303242467,1.3366000080381424
