,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_1,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,calculate_change_2,calculate_stdv_2_1,calculate_annualized_volatility_2,calculate_avg_volatility_2_30,calculate_change_3,calculate_stdv_3_7,calculate_annualized_volatility_3,calculate_avg_volatility_3_10,calculate_change_4,calculate_stdv_4_44,calculate_annualized_volatility_4,calculate_avg_volatility_4_10
1151,2022-11-28 09:15:00,220.5,225.95,219.2,223.45,10124188,2022-11-28 15:29:00,2022-11-28 09:15:00,0.19887661119552838,0.0,0.0,0.0,0.19887661119552838,0.0,0.0,0.0,0.19887661119552838,0.20281525945199338,1.858832557061735,1.554410446996598,0.19887661119552838,0.24738025624073887,2.2672774993215152,2.2638748001883195
1152,2022-11-29 09:15:00,223.95,237.45,223.5,234.1,26000561,2022-11-29 15:29:00,2022-11-29 09:15:00,0.4656069911740469,0.0,0.0,0.0,0.4656069911740469,0.0,0.0,0.0,0.4656069911740469,0.23950401717394584,2.1950905758912205,1.6211480400910112,0.4656069911740469,0.25930159773594036,2.376538398895873,2.2693657794913396
1153,2022-11-30 09:15:00,236.95,239.75,234.2,238.4,22934915,2022-11-30 15:29:00,2022-11-30 09:15:00,0.18201560694329577,0.0,0.0,0.0,0.18201560694329577,0.0,0.0,0.0,0.18201560694329577,0.17175725069197298,1.574181204906945,1.6329113855872486,0.18201560694329577,0.2570576358552485,2.355972148546141,2.2721741801349378
1154,2022-12-01 09:15:00,241.0,241.0,224.2,235.5,32125853,2022-12-01 15:29:00,2022-12-01 09:15:00,-0.12239021734722272,0.0,0.0,0.0,-0.12239021734722272,0.0,0.0,0.0,-0.12239021734722272,0.20161739424731837,1.847853941116181,1.6643726583459917,-0.12239021734722272,0.24354753696079637,2.232150046885809,2.2621968069956075
1155,2022-12-02 09:15:00,236.85,243.0,236.05,240.0,17729504,2022-12-02 15:29:00,2022-12-02 09:15:00,0.1892800988551886,0.0,0.0,0.0,0.1892800988551886,0.0,0.0,0.0,0.1892800988551886,0.19990894705325593,1.832195763940929,1.7013896917173326,0.1892800988551886,0.2452642845785393,2.247884298700693,2.259275964863187
1156,2022-12-05 09:15:00,242.15,244.85,240.3,240.85,10751536,2022-12-05 15:29:00,2022-12-05 09:15:00,0.03535409734238381,0.0,0.0,0.0,0.03535409734238381,0.0,0.0,0.0,0.03535409734238381,0.17305812622811925,1.5861039261351582,1.708881184828981,0.03535409734238381,0.2387308708918997,2.1880045731697204,2.256018187079044
1157,2022-12-06 09:15:00,240.95,245.45,240.3,244.35,8888335,2022-12-06 15:29:00,2022-12-06 09:15:00,0.14427290639933954,0.0,0.0,0.0,0.14427290639933954,0.0,0.0,0.0,0.14427290639933954,0.16547472561880233,1.51660091150042,1.711272395432514,0.14427290639933954,0.2359042352500529,2.1620980295880745,2.248019313401802
1158,2022-12-07 09:15:00,244.65,248.4,242.5,246.75,14141454,2022-12-07 15:29:00,2022-12-07 09:15:00,0.09774054597427112,0.0,0.0,0.0,0.09774054597427112,0.0,0.0,0.0,0.09774054597427112,0.16552820225865228,1.5170910330004685,1.708253950386664,0.09774054597427112,0.23387374299225755,2.1434882606493364,2.2421817720237556
1159,2022-12-08 09:15:00,247.0,252.3,246.75,251.1,8379743,2022-12-08 15:29:00,2022-12-08 09:15:00,0.17475587849948404,0.0,0.0,0.0,0.17475587849948404,0.0,0.0,0.0,0.17475587849948404,0.10412045417365536,0.9542797252879127,1.6700097958178468,0.17475587849948404,0.2337915826478709,2.1427352486547853,2.2361385566259475
1160,2022-12-09 09:15:00,252.4,252.9,244.8,246.75,9478067,2022-12-09 15:29:00,2022-12-09 09:15:00,-0.17475587849948288,0.0,0.0,0.0,-0.17475587849948288,0.0,0.0,0.0,-0.17475587849948288,0.13446874261127686,1.2324263832434201,1.611465602208439,-0.17475587849948288,0.22857248751373085,2.0949014516320403,2.2211049956043984
